"pval" "Variance_hat" "Method" "delta" "sigma"
1.97065257204828e-06 0.0016438393711149 "Individual hi" 0 0.1
0.0367971922220326 0.00609209914549627 "Change Point" 0.125 0.1
0.00663664943859643 0.00232992394497408 "Individual hi" 0.25 0.1
0.126935681472676 0.00605560274722477 "Change Point" 0.375 0.1
1.98302254452498e-05 0.00521959327211178 "Individual hi" 0.5 0.1
0.523997909986578 0.0199934308779961 "Change Point" 0.625 0.1
0.00202987549994778 0.00458781163937578 "Individual hi" 0.75 0.1
0.336250848888332 0.0301924433150354 "Change Point" 0.875 0.1
0.0125976699876402 0.005666721512375 "Individual hi" 1 0.1
0.936894532754385 0.0454089713596166 "Change Point" 1.125 0.1
0.0706009977086927 0.0043526270126988 "Individual hi" 1.25 0.1
0.754036573829952 0.0237885052833919 "Change Point" 1.375 0.1
0.0169091760330511 0.00570309902678598 "Individual hi" 1.5 0.1
0.899480310942692 0.0235402620387113 "Change Point" 1.625 0.1
0.130262133951052 0.00526607108891091 "Individual hi" 1.75 0.1
0.283456158143757 0.0213714594003918 "Change Point" 1.875 0.1
0.126476099554441 0.00511235845952047 "Individual hi" 2 0.1
0.745084078404498 0.0131279734304447 "Change Point" 2.125 0.1
0.791789164557729 0.00593904706664134 "Individual hi" 2.25 0.1
0.568474492177635 0.00929356169889915 "Change Point" 2.375 0.1
0.834228924317846 0.0064288053762993 "Individual hi" 2.5 0.1
0.754320582575738 0.0104449216187761 "Change Point" 2.625 0.1
0.700145461506041 0.00519239062786552 "Individual hi" 2.75 0.1
0.182315376777705 0.0068600189891694 "Change Point" 2.875 0.1
0.590702814441974 0.00638498549885468 "Individual hi" 3 0.1
0.17479707666291 0.00764127688294876 "Change Point" 3.5 0.1
0.0828686473789499 0.00803247686032974 "Individual hi" 7.52083333333333 0.1
0.11880785961314 0.00957573091886349 "Change Point" 11.5416666666667 0.1
0.920130241326295 0.00719336099451328 "Individual hi" 15.5625 0.1
0.603803905972818 0.00776013800803612 "Change Point" 19.5833333333333 0.1
0.847325487456499 0.0072333194000659 "Individual hi" 23.6041666666667 0.1
0.849922228189578 0.00809218612934566 "Change Point" 27.625 0.1
0.552549637869329 0.00757458194861471 "Individual hi" 31.6458333333333 0.1
0.278644717915114 0.00783466945477162 "Change Point" 35.6666666666667 0.1
0.60235373574507 0.0079885468670953 "Individual hi" 39.6875 0.1
0.427095183207702 0.00811347005657169 "Change Point" 43.7083333333333 0.1
0.494720217243827 0.00817335961186356 "Individual hi" 47.7291666666667 0.1
0.946463227477245 0.00799803449781714 "Change Point" 51.75 0.1
0.345170452592187 0.00873213929633992 "Individual hi" 55.7708333333333 0.1
0.58356849765424 0.00851681005607559 "Change Point" 59.7916666666667 0.1
0.0766670240743492 0.00845317910102598 "Individual hi" 63.8125 0.1
0.00858210231307489 0.0081813542520136 "Change Point" 67.8333333333333 0.1
0.650331152635085 0.00924918724786516 "Individual hi" 71.8541666666667 0.1
0.845471360491521 0.00886008606415725 "Change Point" 75.875 0.1
0.675524298740734 0.00936956703551798 "Individual hi" 79.8958333333333 0.1
0.459583700898675 0.00867004468345039 "Change Point" 83.9166666666667 0.1
0.394431688821944 0.00738895840704035 "Individual hi" 87.9375 0.1
0.505054339330841 0.00652678663126306 "Change Point" 91.9583333333333 0.1
0.853390214302078 0.0069241739023895 "Individual hi" 95.9791666666667 0.1
0.458707972116947 0.00610429105468538 "Change Point" 100 0.1
0.740533134375798 0.010784623281523 "Individual hi" 0 0.1
0.804241768653146 0.00968461267858449 "Change Point" 0.125 0.1
0.432168047031422 0.0103709030014459 "Individual hi" 0.25 0.1
0.727348634848896 0.00776775747641213 "Change Point" 0.375 0.1
0.277773528808955 0.00785503132160155 "Individual hi" 0.5 0.1
