"Gene","Global","Intra","CellType"
"AC003681.1",0.201861167512993,NA,"macrophage"
"AC004687.1",0.827802233964366,0.728965046529708,"macrophage"
"AC007384.1",0.106109876782267,5977936941203785,"macrophage"
"AC007952.4",29271504091958036,400645209.843345,"macrophage"
"AC008038.1",1.7603574449394,642676889.502768,"macrophage"
"AC008735.2",20516966999736752,NA,"macrophage"
"AC009951.1",0.234394599783039,0.0569542234443392,"macrophage"
"AC010997.6",0.0670546851563714,NA,"macrophage"
"AC011446.2",7989292985395830,1312619862.19615,"macrophage"
"AC016739.1",0.0861209524659662,133284033906.035,"macrophage"
"AC017104.1",1280139287.62694,NA,"macrophage"
"AC020656.1",0.385572285126138,0.216564278406619,"macrophage"
"AC020911.2",0.237908846735509,1181099445309.31,"macrophage"
"AC024293.1",1.28737429926525,67080478407656.9,"macrophage"
"AC025164.1",0.460750279177909,0.260787720010563,"macrophage"
"AC025171.2",0.0751281224075245,668576819122.037,"macrophage"
"AC087239.1",0.244669580499136,0.221821811816976,"macrophage"
"AC096667.1",0.124307652759049,6927557662109808,"macrophage"
"AC103591.3",0.319474002881377,0.341550052699853,"macrophage"
"AC109326.1",1.82106382076563,1.64539632938991,"macrophage"
"AC116533.1",0.376410573029666,7.46199857646798,"macrophage"
"AC119396.1",13055366074802476,183452868.147878,"macrophage"
"AC127502.1",0.0890358261624493,17444319412580672,"macrophage"
"AC243960.1",0.129368485653651,0.0248557755903154,"macrophage"
"AC245014.3",0.664351880584268,0.83977384805446,"macrophage"
"AC245060.7",0.131704305006922,188253486.482658,"macrophage"
"AC245297.3",0.408036526608886,0.035496876729291,"macrophage"
"ACSF3",0.282261928496146,0.0886515318995769,"macrophage"
"AD000090.1",5004487006035168,152989514.001541,"macrophage"
"ADA2",0.780498932613356,5.222059983209,"macrophage"
"ADAMTS2",0.285198250091392,1.67015767546131,"macrophage"
"ADCY7",0.525183178373249,0.302612523561776,"macrophage"
"ADGRG5",6527919272.68276,NA,"macrophage"
